crsdept,crsno,crssec,ExamCode,ExamDesc,ExamStart,ExamEnd,BlindID
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,01342925
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,05039448
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,06532180
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,08693889
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,09212463
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,10517396
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,11263400
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,15034406
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,15880371
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,17986537
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,18831604
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,19646573
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,22401292
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,23858900
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,26691240
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,29881966
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,32190400
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,34211439
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,35020890
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,37146358
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,40789499
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,42592826
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,42668459
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,47225536
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,48391661
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,49209440
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,51708247
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,54161470
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,63912641
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,64740497
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,65500149
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,65519956
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,67333422
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,73444032
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,73981335
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,76965343
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,79062757
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,86086521
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,86763990
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,88756602
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,91278545
B50,466,01,12,XII,12/19/2016 10:30 AM,12/19/2016 12:30 PM,92440339
